Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: yellow
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: green
Segment: (200, 200, color: black) to (300, 300, color: black), color: black
